time,utc,pdt, open , high , low , close , DailyPLDot , DailyETop ,DailyXTop,DailyXTop2,DailyEBot,DailyXBot,DailyXBot2,HourlyPLDot,HourlyETop,HourlyXTop,HourlyXTop2,HourlyEBot,HourlyXBot,HourlyXBot2
1655467200,6/17/22 12:00,6/17/22 5:00," 12,456.00 "," 12,466.00 "," 12,398.50 "," 12,409.00 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12455.25,12478.25,12501.25,12524.25,12432.58,12409.92,12387.25
1655470800,6/17/22 13:00,6/17/22 6:00," 12,408.50 "," 12,516.50 "," 12,335.75 "," 12,481.50 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12447.67,12470.08,12492.50,12514.92,12417.83,12388.00,12358.17
1655474400,6/17/22 14:00,6/17/22 7:00," 12,482.25 "," 12,488.50 "," 12,288.25 "," 12,339.00 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12443.92,12495.67,12547.42,12599.17,12397.08,12350.25,12303.42
1655478000,6/17/22 15:00,6/17/22 8:00," 12,340.25 "," 12,486.50 "," 12,305.00 "," 12,401.75 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12413.67,12486.50,12559.33,12632.17,12337.00,12260.33,12183.67
1655481600,6/17/22 16:00,6/17/22 9:00," 12,403.00 "," 12,479.00 "," 12,375.25 "," 12,459.75 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12404.75,12499.83,12594.92,12690.00,12312.33,12219.92,12127.50
1655485200,6/17/22 17:00,6/17/22 10:00," 12,460.50 "," 12,564.25 "," 12,451.75 "," 12,510.50 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12402.56,12482.28,12562.00,12641.72,12320.44,12238.33,12156.22
1655488800,6/17/22 18:00,6/17/22 11:00," 12,511.00 "," 12,552.25 "," 12,486.25 "," 12,498.00 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12448.19,12519.06,12589.92,12660.78,12386.47,12324.75,12263.03
1655492400,6/17/22 19:00,6/17/22 12:00," 12,497.75 "," 12,525.50 "," 12,437.50 "," 12,460.50 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12486.33,12534.92,12583.50,12632.08,12440.83,12395.33,12349.83
1655496000,6/17/22 20:00,6/17/22 13:00," 12,460.75 "," 12,489.50 "," 12,457.50 "," 12,489.50 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12498.50,12538.50,12578.50,12618.50,12449.67,12400.83,12352.00
1655676000,6/19/22 22:00,6/19/22 15:00," 12,499.25 "," 12,590.75 "," 12,488.00 "," 12,587.25 ",12575.27778,12799.80556,13024.33,13248.86,12327.72,12080.17,11832.61,12488.50,12516.58,12544.67,12572.75,12454.58,12420.67,12386.75
